,Molecule ChEMBL ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Assay Type,Assay Description,Assay Organism,Assay Variant Mutation,Target Name,Target Organism,Document Journal,pChEMBL,Canonical_Smiles
1211,CHEMBL2321905,COC(=O)c1cc(-c2ccc(NC(=O)c3cc(NC(=O)CCCOc4cc5c(cc4OC)C(=O)N4CCC[C@H]4C=N5)cn3C)cc2)cn1C,IC50,'=',6.5e-05,nM,,Outside typical range,F,Cytotoxicity against human MDA-MB-231 cells after 96 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,13.187086643357144,COC(=O)c1cc(-c2ccc(NC(=O)c3cc(NC(=O)CCCOc4cc5c(cc4OC)C(=O)N4CCC[C@H]4C=N5)cn3C)cc2)cn1C
11280,CHEMBL2324630,COC(=O)c1cc(-c2ccc(NC(=O)c3nc(NC(=O)CCCOc4cc5c(cc4OC)C(=O)N4CCC[C@H]4C=N5)cn3C)cc2)cn1C,IC50,'=',0.00018,nM,,Outside typical range,F,Cytotoxicity against human MDA-MB-231 cells after 96 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,12.744727494896694,COC(=O)c1cc(-c2ccc(NC(=O)c3nc(NC(=O)CCCOc4cc5c(cc4OC)C(=O)N4CCC[C@H]4C=N5)cn3C)cc2)cn1C
9029,CHEMBL218105,COc1cc(/C=C/C(=O)O)ccc1OCC=C(C)C,IC50,'=',0.0008,nM,,Outside typical range,F,Antiproliferative activity against human MDA-MB-231 cells after 24 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Nat Prod,12.096910013008056,COc1cc(/C=C/C(=O)O)ccc1OCC=C(C)C
6216,CHEMBL2324629,COC(=O)c1nc(NC(=O)c2cc(NC(=O)c3cc(-c4ccc(NC(=O)CCCOc5cc6c(cc5OC)C(=O)N5CCC[C@H]5C=N6)cc4)cn3C)cn2C)cn1C,IC50,'=',0.015,nM,10.82,,F,Cytotoxicity against human MDA-MB-231 cells after 96 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,10.823908740944319,COC(=O)c1nc(NC(=O)c2cc(NC(=O)c3cc(-c4ccc(NC(=O)CCCOc5cc6c(cc5OC)C(=O)N5CCC[C@H]5C=N6)cc4)cn3C)cn2C)cn1C
11466,CHEMBL215032,COC(=O)c1cc(NC(=O)c2cc(NC(=O)CCCOc3cc4c(cc3OC)C(=O)N3CCC[C@H]3C=N4)cn2C)cn1C,IC50,'=',0.12,nM,9.92,,F,Cytotoxicity against human MDA-MB-231 cells after 96 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,9.920818753952375,COC(=O)c1cc(NC(=O)c2cc(NC(=O)CCCOc3cc4c(cc3OC)C(=O)N3CCC[C@H]3C=N4)cn2C)cn1C
6335,CHEMBL3233475,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](CC(=O)[C@H](O[Si](OC(C)C)(OC(C)C)OC(C)C)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,IC50,'=',0.2,nM,9.7,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,9.698970004336019,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](CC(=O)[C@H](O[Si](OC(C)C)(OC(C)C)OC(C)C)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C
1739,CHEMBL554319,CC(=O)OC[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)OCC1c2ccccc2-c2ccccc21,IC50,'=',0.209,nM,9.68,,F,Cytotoxicity against human MDA-MB-231 cells after 72 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,Eur J Med Chem,9.679853713888946,CC(=O)OC[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)OCC1c2ccccc2-c2ccccc21
10193,CHEMBL145781,O=c1ccc2ccc(OCc3ccccc3)cc2o1,IC50,'=',0.4,nM,9.4,,F,Antiproliferative activity against human MDA-MB-231 cells after 24 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Nat Prod,9.397940008672037,O=c1ccc2ccc(OCc3ccccc3)cc2o1
654,CHEMBL2324627,CCOC(=O)c1nc(NC(=O)c2cc(-c3ccc(NC(=O)CCCOc4cc5c(cc4OC)C(=O)N4CCC[C@H]4C=N5)cc3)cn2C)cn1C,IC50,'=',0.45,nM,9.35,,F,Cytotoxicity against human MDA-MB-231 cells after 96 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,9.346787486224656,CCOC(=O)c1nc(NC(=O)c2cc(-c3ccc(NC(=O)CCCOc4cc5c(cc4OC)C(=O)N4CCC[C@H]4C=N5)cc3)cn2C)cn1C
1221,CHEMBL2324625,COC(=O)c1cc(-c2ccc(NC(=O)c3cc(-c4ccc(NC(=O)CCCOc5cc6c(cc5OC)C(=O)N5CCC[C@H]5C=N6)cc4)cn3C)cc2)cn1C,IC50,'=',0.46,nM,9.34,,F,Cytotoxicity against human MDA-MB-231 cells after 96 hrs by MTT assay,Homo sapiens,,MDA-MB-231,Homo sapiens,J Med Chem,9.337242168318426,COC(=O)c1cc(-c2ccc(NC(=O)c3cc(-c4ccc(NC(=O)CCCOc5cc6c(cc5OC)C(=O)N5CCC[C@H]5C=N6)cc4)cn3C)cc2)cn1C
